amfi_code,scheme_name,fund_house,category,sub_category,beta,alpha_annual_pct,alpha_daily,r_squared,p_value,n_obs
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Small Cap,-0.0231960620440597,30.336965386983323,0.0012038478328167985,0.00014142575502721724,0.6871791461096046,1149
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,Small Cap,0.011455159960520721,30.05787817097677,0.001192772943292729,3.5329906267955714e-05,0.8404935891843298,1149
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,Mid Cap,0.0005490042506317005,29.26358334175106,0.0011612533072123436,1.345534167566829e-07,0.9900902356906143,1149
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,ELSS,0.018133884083859218,28.27036785246582,0.0011218399941454692,0.00017488886568129512,0.6542952865906956,1149
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,Flexi Cap,-0.022829569792426566,27.330465038306055,0.0010845422634248435,0.0003430543427151455,0.5305284121437432,1149
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,Mid Cap,0.005103525830528331,27.19535450128533,0.0010791807341779893,1.2066520635068268e-05,0.9063691402409374,1149
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,Large Cap,0.023683558075848626,26.98375144191807,0.001070783787377701,0.000462543690662385,0.46642651975427446,1149
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,Mid Cap,-0.0025230046646992563,26.598577542043046,0.0010554991088112318,3.3579781920088836e-06,0.950524770626866,1149
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,Mid Cap,-0.06626542862803761,26.07666908004223,0.0010347884555572313,0.0019368789369602344,0.13598752352498455,1149
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Large Cap,-0.03175144113890976,23.201007160635083,0.000920674887326789,0.0008869788879322832,0.31314302723084486,1149
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity,Large Cap,-0.00835383212696199,21.829397904608644,0.0008662459485955811,5.791756270127789e-05,0.7966457465470193,1149
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Large Cap,0.021086316250128002,21.399784776051213,0.0008491978085734608,0.0003480482030714242,0.5275509209180682,1149
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,Large Cap,0.016232169761416993,21.19482701352573,0.0008410645640287988,0.00021216129075887427,0.6218551541356456,1149
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity,Large & Mid Cap,-0.02638771994384303,20.873010086942337,0.0008282940510691404,0.0004859264752797324,0.45537031787419824,1149
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Large Cap,-0.02615930751351343,19.86859936686296,0.0007884364828120222,0.0005850821704543438,0.4127055818020538,1149
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,Large Cap,0.0488204042595774,17.729754927531765,0.0007035617034734827,0.0018401792783071592,0.1461759487459864,1149
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity,Large Cap,-0.040268952369820595,17.703302365844074,0.0007025119986446061,0.001397444608331861,0.20543745183411533,1149
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,Small Cap,0.10349663691337586,17.50072167561127,0.0006944730823655265,0.0027930065610663234,0.07333892285784306,1149
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity,Index,-0.019486785689474546,17.048756803412697,0.0006765379683893927,0.0003828503073092389,0.5075948866942017,1149
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity,Value,0.041896462728119754,16.25385327998104,0.0006449941777770254,0.0012571178108220728,0.22978488107543144,1149
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,Flexi Cap,0.016682689437770855,16.211256794033254,0.0006433038410330657,0.00018619166432850236,0.6440466770890046,1149
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity,Large Cap,-0.036639006718609354,15.643835948169668,0.0006207871408003836,0.0011382947171084277,0.25315678850632356,1149
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity,Index/ETF,-0.0014335213897801022,15.136354648239239,0.0006006489939777476,2.0253408972327574e-06,0.9615666405413452,1149
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity,Large Cap,-0.004050271130006519,13.173190226099432,0.0005227456438928346,1.3227607880850361e-05,0.9019895024405028,1149
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,Large Cap,0.036356399022199816,13.042924450705446,0.000517576367091486,0.0012113711061211877,0.2384593087156636,1149
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,Mid Cap,0.009054412621739153,11.98910097121797,0.00047575797504833216,4.043746553634245e-05,0.8295182110189219,1149
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Small Cap,-0.06528924788351527,10.897091901704538,0.00043242428181367216,0.0010641052735572626,0.26923382859979944,1149
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity,Large Cap,0.02588321244009314,8.232801295222094,0.00032669846409611483,0.0005692038090244865,0.4191212046285579,1149
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,Mid Cap,0.018056874208118145,7.80443887615508,0.00030969995540297936,0.00016915548838314332,0.6596465767530768,1149
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity,Large Cap,0.009730745001153628,6.899529821677549,0.00027379086593958533,8.08263769381076e-05,0.7608083592013821,1149
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt,Liquid,-0.0004440926329707225,6.746210411099539,0.0002677067623452198,0.00013430661440679811,0.6947484438507022,1149
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt,Liquid,-0.00040074423947840073,6.4556774953759986,0.00025617767838793644,0.00010125435692271747,0.7333100820090802,1149
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt,Liquid,0.0002667096833823833,6.086145795787115,0.00024151372205504423,4.607623677105198e-05,0.8182140691419654,1149
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,Gilt,-0.006413850728276463,5.620895216638369,0.00022305139748564958,0.00043426033217200323,0.4803856630002876,1149
